시도,시군구,사고년도,횡단중,차도통행중,길가장자리구역통행중,보도통행중,기타,충돌,추돌,기타_1,공작물충돌,도로이탈,전도전복,기타_2,횡단중_3,차도통행중_4,길가장자리구역통행중_5,보도통행중_6,기타_7,충돌_8,추돌_9,기타_10,공작물충돌_11,도로이탈_12,전도전복_13,기타_14,횡단중_16,차도통행중_17,길가장자리구역통행중_18,보도통행중_19,기타_20,충돌_21,추돌_22,기타_23,공작물충돌_24,도로이탈_25,전도전복_26,기타_27,횡단중_29,차도통행중_30,길가장자리구역통행중_31,보도통행중_32,기타_33,충돌_34,추돌_35,기타_36,공작물충돌_37,도로이탈_38,전도전복_39,기타_40,횡단중_42,차도통행중_43,길가장자리구역통행중_44,보도통행중_45,기타_46,충돌_47,추돌_48,기타_49,공작물충돌_50,도로이탈_51,전도전복_52,기타_53
서울,종로구,사고[건],98,62,23,16,106,529,166,86,14,1,5,27,69,30,14,19,91,381,122,145,7,-,3,22,66,23,6,17,70,318,118,124,6,-,5,25,76,36,24,33,101,389,131,131,10,-,9,34,84,47,14,22,89,379,150,147,10,2,6,38
서울,종로구,사망[명],1,1,0,0,1,0,1,2,0,0,0,0,0,0,0,1,1,1,1,0,1,-,0,0,3,0,0,0,1,1,0,0,0,-,1,0,1,0,0,0,0,1,0,0,1,-,0,0,3,0,0,0,3,2,0,0,0,0,0,0
서울,종로구,부상[명],104,62,24,21,108,813,256,100,20,1,6,44,75,30,17,19,97,576,200,177,8,-,3,22,65,25,6,18,75,475,185,161,9,-,4,27,81,36,26,37,111,574,237,184,22,-,9,34,99,47,14,22,93,576,217,206,10,2,6,39
서울,마포구,사고[건],110,32,7,19,192,502,228,364,9,-,2,29,73,28,6,16,142,465,194,315,6,-,5,22,69,28,12,20,99,391,198,265,5,-,2,13,74,26,13,23,102,336,224,249,4,-,2,12,73,27,14,33,125,393,238,328,5,-,3,11
서울,마포구,사망[명],2,1,0,0,1,2,0,0,0,-,0,1,2,2,1,1,0,2,0,2,2,-,0,1,2,1,0,0,3,6,0,2,0,-,0,0,5,1,0,0,1,1,0,1,0,-,1,0,2,1,0,0,3,3,2,1,1,-,0,1
서울,마포구,부상[명],119,33,7,20,202,735,417,543,14,-,3,30,76,27,5,16,154,662,362,418,5,-,5,24,71,29,12,21,101,562,367,389,5,-,2,14,74,28,13,24,108,515,384,319,5,-,1,12,77,27,14,34,134,575,387,450,4,-,3,10
서울,강서구,사고[건],154,54,29,39,193,687,232,379,8,-,3,51,105,46,10,36,149,543,218,418,8,1,7,34,120,29,23,24,144,398,224,499,4,-,1,35,123,26,20,30,187,493,262,423,6,-,4,32,102,29,14,20,165,485,235,433,8,1,2,24
서울,강서구,사망[명],6,3,0,0,4,4,0,3,0,-,0,0,3,2,0,0,3,4,2,3,0,0,0,0,3,0,0,1,3,2,0,4,0,-,0,0,3,0,1,0,5,2,0,2,1,-,1,0,2,0,0,0,2,1,2,1,0,1,0,0
서울,강서구,부상[명],162,52,29,39,200,1005,416,505,10,-,3,70,111,46,10,37,151,820,352,545,11,2,7,39,126,31,23,27,149,606,344,689,5,-,1,41,125,27,22,31,200,703,403,550,7,-,3,37,105,32,15,22,165,748,393,598,8,0,2,24
서울,구로구,사고[건],164,31,23,22,168,444,230,400,10,-,7,30,97,34,19,41,105,480,215,278,13,-,6,37,66,28,18,32,130,526,189,327,7,-,2,25,83,17,22,36,133,443,146,346,10,-,2,36,120,24,19,20,155,486,186,316,3,-,-,30
