시도,시군구,사고년도,횡단중,차도통행중,길가장자리구역통행중,보도통행중,충돌,추돌,공작물충돌,도로이탈,전도전복,횡단중,차도통행중,길가장자리구역통행중,보도통행중,충돌,추돌,공작물충돌,도로이탈,전도전복,횡단중,차도통행중,길가장자리구역통행중,보도통행중,충돌,추돌,기타,공작물충돌,도로이탈,전도전복,횡단중,차도통행중,길가장자리구역통행중,보도통행중,충돌,추돌,공작물충돌,도로이탈,전도전복,횡단중,차도통행중,길가장자리구역통행중,보도통행중,충돌,추돌,공작물충돌,도로이탈,전도전복
서울,종로구,사고[건],98,62,23,16,529,166,14,1,5,69,30,14,19,381,122,7,-,3,66,23,6,17,318,118,124,6,-,5,76,36,24,33,389,131,10,-,9,84,47,14,22,379,150,10,2,6
서울,종로구,사망[명],1,1,0,0,0,1,0,0,0,0,0,0,1,1,1,1,-,0,3,0,0,0,1,0,0,0,-,1,1,0,0,0,1,0,1,-,0,3,0,0,0,2,0,0,0,0
서울,종로구,부상[명],104,62,24,21,813,256,20,1,6,75,30,17,19,576,200,8,-,3,65,25,6,18,475,185,161,9,-,4,81,36,26,37,574,237,22,-,9,99,47,14,22,576,217,10,2,6
서울,마포구,사고[건],110,32,7,19,502,228,9,-,2,73,28,6,16,465,194,6,-,5,69,28,12,20,391,198,265,5,-,2,74,26,13,23,336,224,4,-,2,73,27,14,33,393,238,5,-,3
서울,마포구,사망[명],2,1,0,0,2,0,0,-,0,2,2,1,1,2,0,2,-,0,2,1,0,0,6,0,2,0,-,0,5,1,0,0,1,0,0,-,1,2,1,0,0,3,2,1,-,0
서울,마포구,부상[명],119,33,7,20,735,417,14,-,3,76,27,5,16,662,362,5,-,5,71,29,12,21,562,367,389,5,-,2,74,28,13,24,515,384,5,-,1,77,27,14,34,575,387,4,-,3
서울,강서구,사고[건],154,54,29,39,687,232,8,-,3,105,46,10,36,543,218,8,1,7,120,29,23,24,398,224,499,4,-,1,123,26,20,30,493,262,6,-,4,102,29,14,20,485,235,8,1,2
서울,강서구,사망[명],6,3,0,0,4,0,0,-,0,3,2,0,0,4,2,0,0,0,3,0,0,1,2,0,4,0,-,0,3,0,1,0,2,0,1,-,1,2,0,0,0,1,2,0,1,0
서울,강서구,부상[명],162,52,29,39,"1,005",416,10,-,3,111,46,10,37,820,352,11,2,7,126,31,23,27,606,344,689,5,-,1,125,27,22,31,703,403,7,-,3,105,32,15,22,748,393,8,0,2
서울,구로구,사고[건],164,31,23,22,444,230,10,-,7,97,34,19,41,480,215,13,-,6,66,28,18,32,526,189,327,7,-,2,83,17,22,36,443,146,10,-,2,120,24,19,20,486,186,3,-,-
서울,구로구,사망[명],6,0,0,0,2,0,1,-,0,1,1,0,0,4,0,1,-,2,0,0,2,0,4,0,0,1,-,0,1,1,0,0,4,0,2,-,0,1,0,0,0,2,0,1,-,-
서울,구로구,부상[명],169,31,23,23,670,402,13,-,7,111,33,19,42,686,347,12,-,4,68,29,19,34,693,292,419,10,-,3,87,16,22,40,639,231,10,-,3,125,25,19,20,712,319,3,-,-
서울,영등포구,사고[건],216,52,22,50,955,345,10,-,3,135,15,15,28,946,346,13,1,9,123,26,18,22,871,330,589,6,-,11,115,51,33,38,771,322,14,-,8,127,60,26,30,808,321,18,-,6
서울,영등포구,사망[명],2,0,0,0,1,1,1,-,0,3,0,0,0,1,0,0,0,0,6,0,1,0,2,4,0,0,-,0,3,1,0,0,5,1,3,-,2,1,0,0,0,0,1,2,-,0
서울,영등포구,부상[명],229,55,22,53,"1,398",655,16,-,3,144,16,15,29,"1,426",592,14,1,9,126,27,17,22,"1,254",537,773,7,-,11,117,52,33,41,"1,105",518,18,-,7,134,60,28,32,"1,118",592,26,-,6
서울,동작구,사고[건],136,74,29,28,550,255,5,-,-,95,27,24,24,541,208,11,-,5,80,22,9,23,439,161,229,7,-,2,68,32,19,22,450,164,12,-,2,83,41,10,31,415,178,5,-,2
서울,동작구,사망[명],2,0,0,0,1,1,0,-,-,5,0,1,0,1,0,0,-,0,2,2,0,0,1,2,0,0,-,0,1,4,0,0,1,0,1,-,0,3,0,0,0,1,0,0,-,0
서울,동작구,부상[명],145,80,31,28,881,463,8,-,-,96,27,25,25,816,376,11,-,6,81,22,9,25,633,247,314,7,-,2,70,28,19,24,665,257,14,-,2,95,43,10,31,621,275,6,-,2
서울,관악구,사고[건],120,47,25,14,494,190,5,-,3,102,36,26,19,479,233,6,1,5,90,34,13,18,463,181,420,7,-,4,73,41,14,22,423,144,4,-,3,57,28,23,24,291,130,-,-,2
서울,관악구,사망[명],2,2,0,0,4,0,0,-,0,3,0,0,1,0,1,2,0,0,2,1,0,0,2,1,0,0,-,0,5,0,0,0,1,0,0,-,0,0,1,0,0,2,1,-,-,0
서울,관악구,부상[명],126,46,25,15,684,297,6,-,3,108,40,26,19,652,331,5,1,6,96,33,13,20,644,267,540,12,-,5,73,42,14,23,604,231,4,-,3,62,29,25,24,399,203,-,-,2
서울,강남구,사고[건],213,49,96,66,"1,087",562,13,-,2,154,32,94,65,930,666,8,1,9,128,45,70,58,"1,059",653,"1,391",11,1,8,152,40,70,61,985,670,8,-,4,186,78,69,85,"1,132",671,13,-,-
서울,강남구,사망[명],1,2,0,1,2,1,1,-,0,4,2,1,0,3,1,0,0,0,2,0,0,0,0,1,1,2,0,0,4,0,0,0,3,1,0,-,0,2,1,0,0,0,1,0,-,-
서울,강남구,부상[명],225,52,99,66,"1,575",969,17,-,2,166,32,95,67,"1,389","1,060",13,1,9,138,46,72,61,"1,494",982,"1,951",11,1,8,155,40,70,63,"1,436","1,038",12,-,8,194,79,71,100,"1,591","1,038",18,-,-
서울,강동구,사고[건],184,35,17,37,513,220,7,1,-,109,44,36,27,485,204,7,-,-,73,24,14,14,402,176,210,1,1,-,91,15,9,27,445,173,2,1,-,81,26,12,31,423,190,6,-,-
서울,강동구,사망[명],5,0,0,0,1,1,0,0,-,2,0,0,0,2,1,0,-,-,4,1,0,0,1,1,0,0,0,-,1,0,0,0,1,0,2,0,-,0,0,0,0,2,1,1,-,-
서울,강동구,부상[명],193,37,18,38,750,386,10,1,-,112,45,38,28,612,346,7,-,-,69,23,15,14,584,301,267,1,1,-,91,15,9,27,618,306,1,1,-,85,29,13,32,595,268,8,-,-
서울,송파구,사고[건],198,65,25,35,"1,356",473,19,1,11,134,45,36,42,"1,254",391,13,-,14,133,50,37,52,"1,126",424,531,11,-,9,162,58,30,59,903,422,9,-,8,126,80,38,61,824,449,14,-,3
서울,송파구,사망[명],1,2,0,0,5,1,1,0,0,2,0,0,0,2,1,1,-,0,1,0,1,0,4,3,3,1,-,0,2,1,0,0,1,0,1,-,2,2,0,0,0,3,1,0,-,0
서울,송파구,부상[명],211,67,26,38,"1,976",813,49,1,13,146,49,38,43,"1,781",629,13,-,15,142,50,37,56,"1,586",695,672,11,-,9,176,60,31,63,"1,343",716,9,-,6,137,81,48,65,"1,209",725,16,-,4
서울,서초구,사고[건],154,44,21,32,941,420,24,2,7,104,47,19,40,798,404,4,1,7,99,39,14,45,759,365,570,10,1,3,120,62,27,29,808,424,9,-,1,100,52,32,43,807,435,8,-,3
서울,서초구,사망[명],2,1,0,1,2,1,0,0,0,1,1,0,1,0,2,0,0,0,1,0,0,0,2,0,1,0,0,0,2,1,0,0,1,0,0,-,0,1,1,0,0,1,1,0,-,0
서울,서초구,부상[명],157,43,22,33,"1,456",730,33,3,7,114,47,19,40,"1,130",724,6,1,8,102,41,14,45,"1,075",614,806,11,1,3,125,65,28,30,"1,264",738,14,-,1,107,51,34,46,"1,209",880,11,-,5
서울,중구,사고[건],108,41,12,18,573,146,5,-,3,90,27,7,17,417,125,6,-,7,58,18,14,13,378,113,164,5,-,3,62,19,8,23,364,111,3,-,2,73,23,7,14,360,130,4,-,4
서울,중구,사망[명],3,0,0,0,1,0,0,-,0,0,1,0,0,1,0,1,-,0,2,0,0,0,0,0,0,0,-,1,0,1,0,0,0,0,0,-,0,2,1,0,0,0,0,0,-,0
서울,중구,부상[명],111,44,12,24,845,255,5,-,3,97,28,7,17,591,195,5,-,7,61,18,14,16,554,176,218,5,-,2,66,19,8,24,499,170,3,-,2,75,23,7,14,492,202,4,-,4
서울,양천구,사고[건],131,15,16,23,454,210,5,-,2,102,16,7,14,295,177,4,-,-,93,19,8,31,449,188,355,2,-,3,75,13,7,14,324,149,7,-,2,92,30,12,28,361,178,5,1,1
서울,양천구,사망[명],3,2,0,0,1,2,1,-,0,3,0,0,1,0,0,1,-,-,4,0,0,0,2,1,3,0,-,0,3,1,0,0,0,0,0,-,0,0,0,0,0,1,0,0,0,0
서울,양천구,부상[명],137,13,20,24,658,401,4,-,3,105,18,7,15,428,295,3,-,-,94,20,9,33,649,283,442,3,-,3,75,12,8,14,470,230,7,-,2,94,30,12,28,507,290,6,1,1
서울,중랑구,사고[건],209,35,32,28,510,213,19,-,8,117,19,29,13,451,163,17,-,11,124,25,15,26,458,171,371,4,-,8,117,18,27,25,494,190,6,2,5,95,28,19,28,434,176,10,-,2
서울,중랑구,사망[명],6,1,0,0,3,0,1,-,0,2,0,0,0,0,0,0,-,0,3,1,0,0,0,0,0,1,-,0,4,0,0,0,1,1,0,1,0,2,0,0,0,3,1,0,-,0
서울,중랑구,부상[명],216,36,33,28,742,354,20,-,9,124,20,31,13,685,265,23,-,13,132,24,16,28,697,266,469,5,-,9,118,19,27,25,746,315,7,1,5,109,29,20,31,606,310,13,-,2
서울,노원구,사고[건],180,59,18,32,666,275,9,-,4,122,47,8,29,614,241,11,1,4,127,35,9,23,617,221,240,17,-,2,114,35,9,28,494,228,13,-,2,100,34,14,38,501,218,8,-,2
