,브랜드,상호명,구,주소
0,이디야,강동고덕교차로점,강동구,"서울 강동구 고덕로 421 (강일동, 대한연세요양원)"
1,이디야,강동구청점,강동구,"서울 강동구 성내로6길 20 (성내동, 청일 베르네)"
2,이디야,강동성내점,강동구,서울 강동구 풍성로 162 (성내동)
3,이디야,강동신명초교점,강동구,"서울 강동구 명일로 260 (길동, 길동신동아아파트)"
4,이디야,강동역점,강동구,"서울 강동구 천호대로 1065 (천호동, 강동상떼빌)"
5,이디야,고덕강일2지구점,강동구,서울 강동구 아리수로93나길 76 (강일동)
6,이디야,고덕그라시움후문점,강동구,서울 강동구 동남로82길 121 (고덕동)
7,이디야,고덕점,강동구,"서울 강동구 동남로75길 19 (명일동, 명일빌딩)"
8,이디야,굽은다리역점,강동구,서울 강동구 양재대로 1543 (천호동)
9,이디야,길동사거리점,강동구,서울 강동구 천호대로 1132 (성내동)
10,이디야,길동역점,강동구,서울 강동구 양재대로 1471 (길동)
11,이디야,길동중앙점,강동구,서울 강동구 명일로 200 (길동)
12,이디야,둔촌점,강동구,서울 강동구 양재대로 1377 (성내동)
13,이디야,명일역점,강동구,"서울 강동구 구천면로 424 (명일동, 명일메가타운)"
14,이디야,명일중앙점,강동구,"서울 강동구 상암로 210 (명일동, 명일현대종합상가)"
15,이디야,보훈병원점,강동구,"서울 강동구 명일로 110 (둔촌동, 둔촌동암펠로스타워)"
16,이디야,상일리엔파크점,강동구,"서울 강동구 상일로 74 (상일동, 고덕리엔파크3단지아파트)"
17,이디야,암사중앙점,강동구,"서울 강동구 암사길 50 (암사동, 제이빌더스)"
18,이디야,올림픽북문점,강동구,서울 강동구 성안로 7 (성내동)
19,이디야,천호1동점,강동구,"서울 강동구 구천면로34길 43 (천호동, 헤리티지)"
20,이디야,천호로데오점,강동구,서울 강동구 천호대로 1027 (천호동)
21,이디야,천호중앙점,강동구,"서울 강동구 올림픽로 660 (천호동, 천호엘크루주상복합)"
22,이디야,천호초교사거리점,강동구,"서울 강동구 구천면로 304 (천호동, 일주빌딩)"
23,이디야,천호현대점,강동구,서울 강동구 올림픽로 665 (천호동)
24,이디야,건대로데오점,광진구,서울 광진구 아차산로30길 8 (자양동)
25,이디야,건대스타시티2호점,광진구,"서울 광진구 능동로 92 (자양동, 스타시티몰) 지하 2층 201호"
26,이디야,건대스타시티점,광진구,"서울 광진구 아차산로 272 (자양동, 더샵스타시티)"
27,이디야,건대역점,광진구,"서울 광진구 아차산로 229 (화양동, 한림타워)"
28,이디야,구의사거리점,광진구,서울 광진구 광나루로 508 (구의동)
29,이디야,구의역점,광진구,서울 광진구 구의로 4 (구의동)
30,이디야,구의자양로점,광진구,서울 광진구 자양로 251 (구의동)
31,이디야,군자역점,광진구,"서울 광진구 능동로 290 (능동, 삼일빌딩)"
32,이디야,동서울터미널점,광진구,서울 광진구 강변역로 50
33,이디야,세종대후문점,광진구,서울 광진구 군자로 109 (군자동)
34,이디야,아차산역점,광진구,서울 광진구 천호대로 663 (구의동)
35,이디야,자양동점,광진구,서울 광진구 자양로 46 (자양동)
36,이디야,자양우성점,광진구,"서울 광진구 자양번영로 34 (자양동, 제이원하이텔)"
37,이디야,중곡대원점,광진구,서울 광진구 용마산로 111 (중곡동)
38,이디야,중곡신성점,광진구,"서울 광진구 용마산로 37 (중곡동, 이안빌딩)"
39,이디야,중곡중앙점,광진구,서울 광진구 능동로 330 (중곡동)
40,이디야,가재울중앙점,서대문구,"서울 서대문구 가재울미래로 2 (남가좌동, DMC파크뷰자이)"
41,이디야,명지대점,서대문구,서울 서대문구 거북골로 35 (남가좌동)
42,이디야,명지전문대점,서대문구,서울 서대문구 가좌로 140 (홍은동)
43,이디야,북가좌동점,서대문구,서울 서대문구 증가로 257 (북가좌동)
44,이디야,서대문구청점,서대문구,서울 서대문구 연희로 237 (연희동)
45,이디야,서대문점,서대문구,서울 서대문구 냉천동
46,이디야,서울간호대점,서대문구,서울 서대문구 간호대로 8 (홍제동)
47,이디야,신촌기차역점,서대문구,서울 서대문구 신촌역로 35 (창천동)
48,이디야,신촌역점,서대문구,서울 서대문구 신촌로 87-20 (창천동)
49,이디야,아현역점,서대문구,"서울 서대문구 신촌로37길 10 (북아현동, 아현 메디컬)"
50,이디야,연남동점,서대문구,서울 서대문구 연희로 42 (연희동)
51,이디야,연세대점,서대문구,서울 서대문구 연세로12길 10 (창천동)
52,이디야,연세의료원ABMRC점,서대문구,"서울 서대문구 연세로 50-1 (신촌동, 세브란스병원)"
53,이디야,연세의료원제중관점,서대문구,"서울 서대문구 연세로 50-1 (신촌동, 세브란스병원)"
54,이디야,연세의료원종합관점,서대문구,"서울 서대문구 연세로 50-1 (신촌동, 세브란스병원)"
55,이디야,연희홍연길점,서대문구,서울 서대문구 홍제천로 146-9 (연희동)
56,이디야,충정로3가점,서대문구,"서울 서대문구 경기대로 26-26 (충정로3가, 더스타일하우스디센트럴)"
57,이디야,홍은사거리점,서대문구,"서울 서대문구 통일로 510 (홍은동, 북한산 더샵)"
58,이디야,경희대점,동대문구,서울 동대문구 경희대로 4 (회기동)
59,이디야,경희대캠퍼스점,동대문구,"서울 동대문구 경희대로 26 (회기동, 경희대학교,경희초,중,고,여자중고등학교)"
60,이디야,답십리사거리점,동대문구,서울 동대문구 답십리로 145 (답십리동)
61,이디야,답십리파크자이점,동대문구,"서울 동대문구 한천로 55 (답십리동, 영진빌딩)"
62,이디야,동대문구청점,동대문구,서울 동대문구 천호대로 153-1 (용두동)
63,이디야,동부병원사거리점,동대문구,서울 동대문구 무학로 104 (용두동)
64,이디야,배봉초교사거리점,동대문구,서울 동대문구 답십리로63길 131 (장안동)
65,이디야,서울시립대점,동대문구,"서울 동대문구 서울시립대로 164 (전농동, 도석프라자)"
66,이디야,신설동역점,동대문구,서울 동대문구 천호대로 11-3 (신설동)
67,이디야,용두동사거리점,동대문구,서울 동대문구 왕산로 68 (용두동)
68,이디야,용두동점,동대문구,서울 동대문구 고산자로 413-1 (용두동)
69,이디야,이문점,동대문구,서울 동대문구 신이문로 19 (이문동)
70,이디야,장안동사거리점,동대문구,서울 동대문구 답십리로 309 (장안동)
71,이디야,장안동점,동대문구,서울 동대문구 장한로 43 (장안동)
72,이디야,장안중랑천점,동대문구,서울 동대문구 장한로18길 32 (장안동)
73,이디야,장안중앙점,동대문구,서울 동대문구 사가정로25길 42 (장안동)
74,이디야,장한평군자초교점,동대문구,서울 동대문구 한천로2길 53 (장안동)
75,이디야,전농사거리점,동대문구,서울 동대문구 사가정로 132 (전농동)
76,이디야,청량리점,동대문구,서울 동대문구 왕산로 225 (청량리동)
77,이디야,촬영소사거리점,동대문구,서울 동대문구 답십리로 264 (장안동)
78,이디야,회기역중앙점,동대문구,서울 동대문구 회기로 194-1 (휘경동)
79,이디야,논골사거리점,성동구,서울 성동구 난계로 35 (금호동1가)
80,이디야,마장동점,성동구,서울 성동구 고산자로 339-2 (마장동)
81,이디야,마장역점,성동구,서울 성동구 마장로 293-1 (마장동)
82,이디야,상왕십리역점,성동구,서울 성동구 무학봉15길 27 (하왕십리동)
83,이디야,성동구청점,성동구,서울 성동구 고산자로 269 (도선동)
84,이디야,성수2가점,성동구,서울 성동구 성덕정길 106 (성수동2가)
85,이디야,성수아카데미점,성동구,서울 성동구 성수이로 118 (성수동2가)
86,이디야,성수우리W타워점,성동구,서울 성동구 아차산로15길 19 (성수동2가)
87,이디야,성수중앙점,성동구,"서울 성동구 성수일로6길 47 (성수동2가, 현성빌딩)"
88,이디야,신금호역점,성동구,서울 성동구 금호산길 64 (금호동2가)
89,이디야,옥수동점,성동구,서울 성동구 매봉길 12 (옥수동)
90,이디야,왕십리비트플렉스점,성동구,서울 성동구 왕십리광장로 17 (행당동)
91,이디야,왕십리센트라스점,성동구,서울 성동구 무학로 22 (홍익동)
92,이디야,왕십리역점,성동구,서울 성동구 왕십리로 309 (행당동)
93,이디야,응봉동점,성동구,"서울 성동구 독서당로 381 (응봉동, 현대종합상가)"
94,이디야,텐즈힐점,성동구,"서울 성동구 무학로 33 (하왕십리동, 텐즈힐)"
95,이디야,금란망우점,중랑구,서울 중랑구 망우로 460 (망우동)
96,이디야,동원사거리점,중랑구,"서울 중랑구 겸재로 240 (면목동, 행복오피스텔)"
97,이디야,망우동점,중랑구,서울 중랑구 망우로 416 (망우동)
98,이디야,망우중앙점,중랑구,"서울 중랑구 용마산로115길 109 (망우동, 한일써너스빌리젠시2단지)"
99,이디야,망우코레일점,중랑구,"서울 중랑구 망우로55길 11-10 (상봉동, 망우역)"
100,이디야,먹골역점,중랑구,서울 중랑구 동일로157길 13 (묵동)
101,이디야,면목경남아너스빌점,중랑구,서울 중랑구 면목로27길 92 (면목동)
102,이디야,면목늘찬병원점,중랑구,"서울 중랑구 동일로 643 (면목동, 늘찬병원)"
103,이디야,면목역점,중랑구,"서울 중랑구 면목로 429 (면목동, 킴스아파트)"
104,이디야,봉화산역점,중랑구,서울 중랑구 신내로 211 (신내동)
105,이디야,사가정아이파크점,중랑구,"서울 중랑구 동일로92길 57 (면목동, 메디포레)"
106,이디야,사가정역점,중랑구,서울 중랑구 면목로 325 (면목동)
107,이디야,상봉엠코점,중랑구,"서울 중랑구 망우로 353 (상봉동, 상봉 프레미어스 엠코)"
108,이디야,상봉역점,중랑구,서울 중랑구 망우로 277 (상봉동)
109,이디야,상봉중앙점,중랑구,서울 중랑구 망우로 316 (상봉동)
110,이디야,서울상봉1동점,중랑구,서울 중랑구 상봉중앙로 36 (상봉동)
111,이디야,서울중화초등학교점,중랑구,"서울 중랑구 신내로7가길 7 (신내동, 제이리옴)"
112,이디야,서일중앙점,중랑구,"서울 중랑구 용마산로 394 (면목동, 해동검도)"
113,이디야,신내동점,중랑구,서울 중랑구 봉화산로 215 (신내동)
114,이디야,양원역점,중랑구,서울 중랑구 양원역로14가길 24 (망우동)
115,이디야,중랑교차로점,중랑구,서울 중랑구 동일로 683 (면목동)
116,이디야,중랑묵동점,중랑구,서울 중랑구 공릉로 42 (묵동)
117,이디야,중랑역점,중랑구,서울 중랑구 망우로 198 (상봉동)
118,이디야,중화동점,중랑구,서울 중랑구 동일로129길 1 (중화동)
119,이디야,화랑대역점,중랑구,"서울 중랑구 신내로25가길 2 (묵동, 현동학당)"
120,이디야,개봉북부점,구로구,서울 구로구 경인로40길 12 (개봉동)
121,이디야,개봉역점,구로구,서울 구로구 남부순환로97길 11 (개봉동)
122,이디야,개봉현대점,구로구,서울 구로구 개봉로 69 (개봉동)
123,이디야,고척사거리점,구로구,"서울 구로구 고척로 228-6 (고척동, 종만빌딩)"
124,이디야,고척스카이돔점,구로구,"서울 구로구 경인로 397 (고척동, 골든타워빌딩)"
125,이디야,구로NC점,구로구,서울 구로구 구로동로 240 (구로동)
126,이디야,구로구청점,구로구,"서울 구로구 가마산로25길 9 (구로동, 네오팰리스)"
127,이디야,구로궁동점,구로구,서울 구로구 오리로 1304 (궁동) 1층
128,이디야,구로미성점,구로구,"서울 구로구 구로중앙로 228 (신도림동, 기임빌딩)"
129,이디야,구로역광장점,구로구,"서울 구로구 경인로 572 (구로동, 스타팰리스)"
130,이디야,구로이마트점,구로구,서울 구로구 디지털로32길 43 (구로동)
