,Unnamed: 0,브랜드,상호명,구,주소,위도,경도
0,0,이디야,강동고덕교차로점,강동구,"서울 강동구 고덕로 421 (강일동, 대한연세요양원)",37.5546849,127.1310639
1,1,이디야,강동구청점,강동구,"서울 강동구 성내로6길 20 (성내동, 청일 베르네)",37.5279091,127.122009
2,2,이디야,강동성내점,강동구,서울 강동구 풍성로 162 (성내동),37.5317309,127.128233
3,3,이디야,강동신명초교점,강동구,"서울 강동구 명일로 260 (길동, 길동신동아아파트)",37.5326274,127.1437144
4,4,이디야,강동역점,강동구,"서울 강동구 천호대로 1065 (천호동, 강동상떼빌)",37.5350713,127.1351601
5,5,이디야,고덕강일2지구점,강동구,서울 강동구 아리수로93나길 76 (강일동),37.5722495,127.1742641
6,6,이디야,고덕그라시움후문점,강동구,서울 강동구 동남로82길 121 (고덕동),37.5605623,127.1645925
7,7,이디야,고덕점,강동구,"서울 강동구 동남로75길 19 (명일동, 명일빌딩)",37.5542942,127.1553884
8,8,이디야,굽은다리역점,강동구,서울 강동구 양재대로 1543 (천호동),37.5314788,127.1376218
9,9,이디야,길동사거리점,강동구,서울 강동구 천호대로 1132 (성내동),37.5350713,127.1351601
10,10,이디야,길동역점,강동구,서울 강동구 양재대로 1471 (길동),37.5314788,127.1376218
11,11,이디야,길동중앙점,강동구,서울 강동구 명일로 200 (길동),37.5234217,127.1405284
12,12,이디야,둔촌점,강동구,서울 강동구 양재대로 1377 (성내동),37.5314788,127.1376218
13,13,이디야,명일역점,강동구,"서울 강동구 구천면로 424 (명일동, 명일메가타운)",37.5499148,127.1459899
14,14,이디야,명일중앙점,강동구,"서울 강동구 상암로 210 (명일동, 명일현대종합상가)",37.546283,127.1457898
15,15,이디야,보훈병원점,강동구,"서울 강동구 명일로 110 (둔촌동, 둔촌동암펠로스타워)",37.5234217,127.1405284
16,16,이디야,상일리엔파크점,강동구,"서울 강동구 상일로 74 (상일동, 고덕리엔파크3단지아파트)",37.561994,127.1704878
17,17,이디야,암사중앙점,강동구,"서울 강동구 암사길 50 (암사동, 제이빌더스)",37.5524089,127.137631
