사용월,호선명,역ID,지하철역,유임승차,유임하차,무임승차,무임하차
2024-07,1호선,0150,서울역,1448788,1366295,209095,198181
2024-07,1호선,0151,시청,650741,658399,91543,87954
2024-07,1호선,0152,종각,997215,991450,148133,138832
2024-07,1호선,0153,종로3가,476755,440368,278442,257534
2024-07,1호선,0154,종로5가,455951,446910,243737,237639
2024-07,1호선,0155,동대문,230882,223755,124946,125043
2024-07,1호선,0156,신설동,303678,294120,119799,117300
2024-07,1호선,0157,제기동,239978,228808,249675,265506
2024-07,1호선,0158,청량리(서울시립대입구),399832,381968,278559,281373
2024-07,1호선,0159,동묘앞,148067,150264,146212,147314
2024-07,2호선,0201,시청,719603,683493,60341,55269
2024-07,2호선,0202,을지로입구,1357079,1399542,104020,97408
2024-07,2호선,0203,을지로3가,675418,673254,73712,71366
2024-07,2호선,0204,을지로4가,344917,343637,76607,74721
2024-07,2호선,0205,동대문역사문화공원(DDP),398767,464301,60461,65382
2024-07,2호선,0206,신당,350842,370241,93088,94813
2024-07,2호선,0207,상왕십리,361523,354431,72510,74228
2024-07,2호선,0208,왕십리(성동구청),413038,379398,53601,49183
2024-07,2호선,0209,한양대,240104,255835,13551,14233
2024-07,2호선,0210,뚝섬,665417,698308,65825,65992
2024-07,2호선,0211,성수,1195867,1321614,102871,103333
2024-07,2호선,0212,건대입구,982710,1040946,93102,96374
2024-07,2호선,0213,구의(광진구청),634882,611960,109972,110708
2024-07,2호선,0214,강변(동서울터미널),799070,757934,119706,116655
2024-07,2호선,0215,잠실나루,355962,342462,92189,91886
2024-07,2호선,0216,잠실(송파구청),2238572,2210396,222186,214825
2024-07,2호선,0217,잠실새내,610800,598171,117808,116492
2024-07,2호선,0218,종합운동장,404923,447621,52903,55293
2024-07,2호선,0219,삼성(무역센터),1567870,1593454,126786,116862
2024-07,2호선,0220,선릉,1444263,1271015,250793,220385
2024-07,2호선,0221,역삼,1348936,1544453,148587,152803
2024-07,2호선,0222,강남,2309366,2275521,162714,141866
2024-07,2호선,0223,교대(법원.검찰청),759124,912433,152786,179214
2024-07,2호선,0224,서초,563572,543073,86633,86192
2024-07,2호선,0225,방배,377567,391685,76113,75259
2024-07,2호선,0226,사당,1017194,1115973,207288,197819
2024-07,2호선,0227,낙성대(강감찬),722795,692547,115678,117654
2024-07,2호선,0228,서울대입구(관악구청),1199386,1174332,186830,175807
2024-07,2호선,0229,봉천,573055,527832,159765,159778
2024-07,2호선,0230,신림,1455804,1394829,205402,203565
2024-07,2호선,0231,신대방,625733,597349,135057,135370
2024-07,2호선,0232,구로디지털단지,1485833,1469185,207677,208937
2024-07,2호선,0233,대림(구로구청),591742,602120,137403,141314
2024-07,2호선,0234,신도림,1297827,1273818,236978,221532
2024-07,2호선,0235,문래,586369,607834,93920,93300
2024-07,2호선,0236,영등포구청,548756,568187,106348,105035
