사용월,호선명,역ID,지하철역,04:00:00~04:59:59,,05:00:00~05:59:59,,06:00:00~06:59:59,,07:00:00~07:59:59,,08:00:00~08:59:59,,09:00:00~09:59:59,,10:00:00~10:59:59,,11:00:00~11:59:59,,12:00:00~12:59:59,,13:00:00~13:59:59,,14:00:00~14:59:59,,15:00:00~15:59:59,,16:00:00~16:59:59,,17:00:00~17:59:59,,18:00:00~18:59:59,,19:00:00~19:59:59,,20:00:00~20:59:59,,21:00:00~21:59:59,,22:00:00~22:59:59,,23:00:00~23:59:59,,00:00:00~00:59:59,,01:00:00~01:59:59,,02:00:00~02:59:59,,03:00:00~03:59:59,
,,,,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차
2024-07,1호선,0150,서울역,589,18,8057,9031,13979,55919,42093,124856,74047,262620,66402,164049,63254,86988,79328,78916,94775,85265,90078,82708,80189,72995,104338,78621,118717,81581,197775,91581,245454,94949,122252,63098,85070,45334,87900,40261,54718,28535,25973,13125,2894,3784,1,242,0,0,0,0
2024-07,1호선,0151,시청,56,2,2033,5401,3968,25679,7722,81256,10729,215798,13223,92116,15242,43568,21797,39353,23296,36747,28064,35596,34416,28404,44856,25745,56492,24985,99930,26559,174172,24880,64106,12172,55462,8947,47872,8205,29207,6332,9136,3610,505,982,0,16,0,0,0,0
2024-07,1호선,0152,종각,142,1,3866,6510,4200,35908,7104,126021,10727,302766,13413,158467,19771,64813,30809,57553,36807,50731,44353,50389,54100,42541,64756,37467,83558,40880,166681,47801,241078,50159,98864,23570,85591,12579,88419,9419,62601,7009,26606,4544,1902,1150,0,4,0,0,0,0
2024-07,1호선,0153,종로3가,175,15,4050,3175,3679,14242,5855,29958,9770,73350,14267,70132,21669,57358,32228,64102,43194,62702,47977,58608,53642,48318,61187,41627,69612,39102,84505,39074,95524,39798,54497,20449,47242,11406,50866,9502,37870,7642,15786,5029,1601,2265,1,48,0,0,0,0
2024-07,1호선,0154,종로5가,61,1,2120,3643,3154,18162,6329,45719,10376,105683,15050,66733,25194,57274,35274,56712,43630,52413,50333,49405,56722,45136,59253,38390,66333,35497,89230,33413,99098,31381,46621,17576,33421,10273,30492,7387,20853,5451,5776,3446,368,854,0,0,0,0,0,0
2024-07,1호선,0155,동대문,757,14,12086,2117,9215,7707,15524,12252,21063,20773,20396,22798,18388,23467,19491,26570,23579,25968,24740,23638,25571,22956,26437,21930,27009,21235,26186,21134,24596,21751,16611,20720,14802,14719,13400,13573,10096,13570,5139,8969,740,2717,2,220,0,0,0,0
2024-07,1호선,0156,신설동,383,19,9203,2591,10574,10181,23443,27395,33206,60545,21431,35433,18784,21070,20581,18431,22863,18731,24154,19342,22486,18036,24927,19875,29261,21346,44067,25084,56303,32922,21384,22988,14590,15955,12425,15574,8990,13863,4006,9459,416,2580,0,0,0,0,0,0
2024-07,1호선,0157,제기동,433,0,5242,2639,9915,10080,24113,23865,34681,43929,24957,36018,26658,36795,30968,38502,35266,39911,36468,40383,38018,38130,40381,33566,42389,32443,43721,28749,41791,29260,21620,18880,14885,12666,9520,11116,5850,9868,2596,6018,181,1496,0,0,0,0,0,0
2024-07,1호선,0158,청량리(서울시립대입구),1158,14,11466,3076,20025,10875,54254,18369,63524,40370,38532,36695,33796,39885,38455,46220,42792,48821,43795,48144,45896,46845,50294,45372,54674,45960,53113,49040,47244,61600,26934,39699,21657,24095,16120,22837,10316,19842,4096,12043,249,3536,0,3,1,0,0,0
2024-07,1호선,0159,동묘앞,243,2,2980,949,3835,5378,8919,10147,14346,21923,12159,17756,12908,20813,18595,26811,23854,29308,28835,31269,29621,26250,30256,23189,30047,18643,28822,15542,21385,13302,11032,9403,6416,6632,5134,6689,3527,6675,1214,4621,151,1984,0,292,0,0,0,0
2024-07,2호선,0201,시청,57,0,1014,2153,2491,21492,5250,81766,8933,245531,13864,100342,20175,33141,27417,29291,26570,29408,31061,30170,37371,26263,45119,23782,55614,21571,119867,24721,188597,24511,65312,13262,50035,9027,43295,8504,26469,7779,9969,4649,1461,1332,3,67,0,0,0,0
2024-07,2호선,0202,을지로입구,76,2,2638,2891,4522,32145,11551,146000,18338,374916,26247,177040,33988,91825,44944,73927,49934,65502,60445,68109,69118,60065,81357,57765,99752,60541,190952,71322,307138,72893,136238,45536,130470,31909,88129,26779,71403,20995,29741,11517,4117,4341,1,930,0,0,0,0
2024-07,2호선,0203,을지로3가,19,0,1270,2274,2779,24271,6998,80301,13949,195891,17400,77565,21764,33693,26402,28948,27186,27263,31231,30294,33611,26354,38733,25932,49344,31025,102551,36678,156147,43364,60777,25917,45530,16465,47075,15065,40445,13271,21895,7882,4024,2084,0,83,0,0,0,0
2024-07,2호선,0204,을지로4가,9,0,990,1336,2266,16774,6171,40435,12542,82654,13579,40831,16663,24753,20558,23787,20504,21794,21971,20904,23984,19240,27605,17705,34865,17617,66827,18833,71720,20125,30396,13582,18612,10094,15636,10340,10542,9647,5095,6060,989,1822,0,25,0,0,0,0
